participante,item,frase,aspecto,classe,interpretacao
LGP,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
MSS,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
INC,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
LMSA,j,Karen passou o caderno para Sara. Ela...,perfective,C1,fonte
BFJ,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
PBS1,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
ACBO,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
RMGL,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
LGP,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
MSS,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
INC,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
LMSA,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
BFJ,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
PBS1,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
ACBO,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
RMGL,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
LGP,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
MSS,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
INC,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
LMSA,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
BFJ,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
PBS1,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
ACBO,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
RMGL,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
LGP,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
MSS,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,alvo
INC,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
LMSA,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
BFJ,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
PBS1,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
ACBO,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
RMGL,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
LGP,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
MSS,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
INC,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
LMSA,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
BFJ,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
PBS1,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
ACBO,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
RMGL,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
LGP,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
MSS,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
INC,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
LMSA,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
BFJ,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
PBS1,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
ACBO,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
RMGL,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,alvo
LGP,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
MSS,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,alvo
INC,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
LMSA,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
BFJ,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
PBS1,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
ACBO,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
RMGL,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
LGP,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
MSS,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
INC,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
LMSA,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
BFJ,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
PBS1,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
ACBO,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,ambiguo
RMGL,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
LGP,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
MSS,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
INC,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
LMSA,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
BFJ,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
PBS1,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
ACBO,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
RMGL,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
LGP,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,ambiguo
MSS,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
INC,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
LMSA,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
BFJ,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
PBS1,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
ACBO,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
RMGL,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
LGP,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
MSS,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
INC,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
LMSA,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
BFJ,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
PBS1,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
ACBO,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
RMGL,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
LGP,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
MSS,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
INC,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
LMSA,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
BFJ,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,fonte
PBS1,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
ACBO,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
GAP,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
GTC,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
JRFS,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
GRF,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
M A,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
FMdM,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
PBS,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
WA,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
GAP,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
GTC,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
JRFS,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
GRF,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
M A,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
FMdM,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
PBS,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
WA,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
GAP,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
GTC,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
JRFS,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
GRF,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
M A,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
FMdM,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
PBS,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
WA,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
GAP,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
GTC,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
JRFS,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,ambiguo
GRF,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
M A,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
FMdM,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
PBS,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
WA,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
GAP,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
GTC,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
JRFS,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
GRF,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
M A,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
FMdM,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
PBS,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
WA,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
GAP,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
GTC,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
JRFS,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
GRF,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
M A,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
FMdM,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
PBS,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
WA,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
GAP,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
GTC,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
JRFS,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
GRF,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
M A,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
FMdM,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
PBS,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
WA,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
GAP,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
GTC,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
JRFS,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
GRF,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
M A,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
FMdM,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
PBS,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
WA,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
GAP,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
GTC,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
JRFS,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,fonte
GRF,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
M A,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
FMdM,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
PBS,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
WA,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
GAP,j,Karen passou o caderno para Sara. Ela...,perfective,C1,fonte
GTC,j,Karen passou o caderno para Sara. Ela...,perfective,C1,fonte
JRFS,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
GRF,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
M A,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
FMdM,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
PBS,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
WA,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
GAP,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
GTC,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
JRFS,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
GRF,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
M A,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
FMdM,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
PBS,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
WA,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
GAP,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,alvo
GTC,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
JRFS,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
GRF,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
M A,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
FMdM,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,alvo
PBS,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
WA,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
FFB,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,ambiguo
LA1,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
BS,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
L F S N,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
M,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
ILPP,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
LA,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,alvo
Ca,g,João estava trazendo a camisa para Luís. Ele...,imperfective,C1,fonte
FFB,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
LA1,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
BS,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
L F S N,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
M,j,Karen passou o caderno para Sara. Ela...,perfective,C1,fonte
ILPP,j,Karen passou o caderno para Sara. Ela...,perfective,C1,ambiguo
LA,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
Ca,j,Karen passou o caderno para Sara. Ela...,perfective,C1,alvo
FFB,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
LA1,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
BS,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
L F S N,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
M,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,ambiguo
ILPP,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,fonte
LA,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
Ca,q,Rodrigo estava servindo a torta para Caio. Ele...,imperfective,C1,alvo
FFB,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
LA1,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
BS,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
L F S N,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,alvo
M,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
ILPP,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,ambiguo
LA,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
Ca,h,Jorge mandou a carta para Rafael. Ele...,perfective,C3,fonte
FFB,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
LA1,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,alvo
BS,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
L F S N,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,alvo
M,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,ambiguo
ILPP,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
LA,b,Beatriz estava encaminhando o ofício para Laura. Ela...,imperfective,C3,fonte
FFB,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,ambiguo
LA1,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
BS,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
L F S N,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
M,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,ambiguo
ILPP,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,fonte
LA,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
Ca,r,Rogério despachou a encomenda para Samuel. Ele...,perfective,C3,alvo
FFB,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,fonte
LA1,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
BS,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,fonte
L F S N,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
M,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,fonte
ILPP,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,fonte
LA,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
Ca,k,Lúcia deu o presente para Márcia. Ela...,perfective,C1,alvo
FFB,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
LA1,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
BS,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
L F S N,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
M,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
ILPP,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
LA,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,alvo
Ca,p,Raul entregou a caneta para Júlio. Ele...,perfective,C1,fonte
FFB,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
LA1,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
BS,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
L F S N,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
M,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
ILPP,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,fonte
LA,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,alvo
Ca,i,Juliana estava levando o café para Marina. Ela...,imperfective,C1,ambiguo
FFB,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
LA1,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
BS,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
L F S N,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
M,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
ILPP,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,alvo
LA,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,ambiguo
Ca,n,Mônica transferiu o dinheiro para Letícia. Ela...,perfective,C3,fonte
FFB,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
LA1,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
BS,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
L F S N,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,alvo
M,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
ILPP,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
LA,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
Ca,f,Heitor estava repassando a mensagem para Diego. Ele...,imperfective,C3,fonte
FFB,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
LA1,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,ambiguo
BS,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
L F S N,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,alvo
M,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
ILPP,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
LA,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte
Ca,d,Carol estava enviando o email para Cláudia. Ela...,imperfective,C3,fonte